case	original_duration_s	new_duration_s
HappyHorse-t2v-10-01	15	12
HappyHorse-t2v-10-02	15	12
HappyHorse-t2v-10-04	15	12
HappyHorse-t2v-10-05	15	12
HappyHorse-t2v-10-06	15	12
HappyHorse-t2v-10-07	15	12
HappyHorse-t2v-10-09	15	12
HappyHorse-t2v-11-01	15	12
HappyHorse-t2v-11-02	15	12
HappyHorse-t2v-11-04	15	12
HappyHorse-t2v-11-05	15	12
